"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.582388700E-1,-9.795000404E-2,2.029500157E-1,9.903000832E0,9.905564516E0
5.632418700E-1,-1.120500043E-1,2.200500071E-1,9.931950569E0,9.935019845E0
5.682449470E-1,-1.170000061E-1,2.410500050E-1,9.916950226E0,9.920569333E0
5.732480390E-1,-1.170000061E-1,2.200500071E-1,9.922050476E0,9.925179931E0
5.782511160E-1,-1.099500060E-1,2.100000083E-1,9.940950394E0,9.943776131E0
5.832542020E-1,-9.795000404E-2,2.370000184E-1,9.915000916E0,9.918316710E0
5.882570480E-1,-1.050000042E-1,2.250000089E-1,9.922050476E0,9.925156707E0
5.932597070E-1,-1.260000020E-1,2.320500165E-1,9.919950485E0,9.923464155E0
5.982625530E-1,-1.069500074E-1,2.100000083E-1,9.946050644E0,9.948842230E0
6.032650150E-1,-1.099500060E-1,2.100000083E-1,9.916950226E0,9.919782799E0
6.082680920E-1,-1.069500074E-1,2.250000089E-1,9.919950485E0,9.923078199E0
6.132711590E-1,-9.300000221E-2,2.220000178E-1,9.919950485E0,9.922870081E0
6.182747740E-1,-1.120500043E-1,2.340000123E-1,9.927000046E0,9.930389777E0
6.232779470E-1,-1.309500039E-1,2.200500071E-1,9.928950310E0,9.932251717E0
6.282810240E-1,-1.189500093E-1,2.220000178E-1,9.928950310E0,9.932144147E0
6.332837930E-1,-1.000500023E-1,2.170500159E-1,9.904950142E0,9.907833165E0
6.382865720E-1,-1.120500043E-1,2.250000089E-1,9.891000748E0,9.894194055E0
6.432893420E-1,-1.140000075E-1,2.130000144E-1,9.943950653E0,9.946884919E0
6.482920340E-1,-1.380000114E-1,2.410500050E-1,9.940950394E0,9.944830005E0
6.532947930E-1,-1.000500023E-1,2.509500086E-1,9.939000130E0,9.942671145E0
6.582976390E-1,-1.140000075E-1,2.340000123E-1,9.931950569E0,9.935360794E0
6.633003270E-1,-9.495000541E-2,2.029500157E-1,9.901050568E0,9.903585540E0
6.683025570E-1,-1.020000055E-1,2.080500126E-1,9.895950317E0,9.898662611E0
6.733049470E-1,-1.050000042E-1,2.080500126E-1,9.915000916E0,9.917739307E0
6.783067930E-1,-1.120500043E-1,2.290500104E-1,9.919950485E0,9.923227133E0
6.833087160E-1,-1.339500099E-1,2.269500047E-1,9.883950233E0,9.887462826E0
6.883114860E-1,-1.219500080E-1,2.080500126E-1,9.907950401E0,9.910884813E0
6.933142790E-1,-1.000500023E-1,2.389500141E-1,9.898050308E0,9.901439644E0
6.983170480E-1,-1.140000075E-1,2.290500104E-1,9.910050392E0,9.913352545E0
7.033195390E-1,-9.300000221E-2,2.250000089E-1,9.934050560E0,9.937033488E0
7.083222310E-1,-9.300000221E-2,2.440500110E-1,9.936000824E0,9.939432669E0
7.133250000E-1,-1.290000081E-1,2.170500159E-1,9.910050392E0,9.913266388E0
7.183280770E-1,-1.000500023E-1,2.220000178E-1,9.915000916E0,9.917990581E0
7.233305390E-1,-1.000500023E-1,2.130000144E-1,9.910050392E0,9.912844081E0
7.283331110E-1,-1.170000061E-1,2.269500047E-1,9.939000130E0,9.942279361E0
7.333358030E-1,-1.120500043E-1,2.320500165E-1,9.910050392E0,9.913400082E0
7.383383370E-1,-1.189500093E-1,2.200500071E-1,9.928950310E0,9.932100753E0
7.433404910E-1,-1.099500060E-1,2.269500047E-1,9.903000832E0,9.906211222E0
7.483426450E-1,-1.219500080E-1,2.320500165E-1,9.916950226E0,9.920414346E0
7.533450910E-1,-1.189500093E-1,2.320500165E-1,9.928950310E0,9.932373864E0
