"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.085756210E-1,-2.795699984E-2,3.004000057E-3,4.134999961E-2,5.000440304E-2
5.135615250E-1,-6.760000251E-4,-1.061099954E-2,4.134999961E-2,4.269511394E-2
5.185472940E-1,-2.796600014E-2,-2.421999909E-2,5.497099832E-2,6.626097023E-2
5.235331400E-1,1.204000041E-2,-2.256399952E-2,8.221700042E-2,8.610302459E-2
5.285187610E-1,-1.529899985E-2,-8.798999712E-3,8.221799880E-2,8.409090985E-2
5.335046070E-1,-2.888000011E-2,-8.884999901E-3,8.221700042E-2,8.759356591E-2
5.384903610E-1,-1.594000030E-3,-2.254899964E-2,6.859699637E-2,7.222566117E-2
5.434762070E-1,-1.428500004E-2,-3.376299888E-2,6.862200052E-2,7.780090150E-2
5.484618220E-1,-4.151999950E-2,-3.348699957E-2,6.862399727E-2,8.691687121E-2
5.534476740E-1,-2.800199948E-2,-6.279000081E-3,8.224300295E-2,8.710596622E-2
5.584335200E-1,-2.810500003E-2,-1.988999918E-2,1.094830036E-1,1.147694697E-1
5.634193660E-1,-1.361699961E-2,-5.931000225E-3,8.225099742E-2,8.358125399E-2
5.684051250E-1,-1.356699970E-2,7.691000123E-3,9.587199986E-2,9.713215390E-2
5.733909710E-1,9.799999680E-5,7.654000074E-3,1.094919965E-1,1.097592393E-1
5.783766110E-1,-1.355999988E-2,7.478000131E-3,9.587000310E-2,9.711257168E-2
5.833626880E-1,-3.824400157E-2,-5.958999973E-3,9.589000046E-2,1.034069897E-1
5.883482260E-1,-1.076400001E-2,7.608000189E-3,5.502999946E-2,5.658662566E-2
5.933340870E-1,-2.442600019E-2,-1.966300048E-2,9.589099884E-2,1.008877928E-1
5.983199340E-1,-1.094300020E-2,-1.968800090E-2,9.588900208E-2,9.849907286E-2
6.033057940E-1,-2.309099957E-2,-5.745999981E-3,1.095229983E-1,1.120780886E-1
6.082914090E-1,-3.663399816E-2,-1.944500022E-2,1.231430024E-1,1.299398203E-1
6.132772500E-1,-2.310100012E-2,-6.041999906E-3,9.589999914E-2,9.882799100E-2
6.182630960E-1,-2.323500067E-2,-1.974599995E-2,6.865700334E-2,7.512359069E-2
6.232488660E-1,-2.181899920E-2,-5.907999817E-3,6.866999716E-2,7.229482483E-2
6.282344960E-1,-3.535800055E-2,-6.084000226E-3,5.670000101E-4,3.588209512E-2
6.332203420E-1,-3.539200127E-2,-6.161000114E-3,2.780699916E-2,4.542885513E-2
6.382061640E-1,-2.194200084E-2,7.346000057E-3,6.866600364E-2,7.245988665E-2
6.431920110E-1,-7.954999804E-3,1.942699961E-2,1.095179990E-1,1.115118040E-1
6.481777800E-1,-2.156100050E-2,-8.132000454E-3,1.503770053E-1,1.521323434E-1
6.531636310E-1,-2.163499966E-2,-8.344000205E-3,1.367550045E-1,1.387069818E-1
6.581494770E-1,-8.046999574E-3,1.887200028E-2,8.227299899E-2,8.479241098E-2
6.631353230E-1,5.150999874E-3,3.031300008E-2,5.501300097E-2,6.302254397E-2
6.681209530E-1,1.870200038E-2,2.737999894E-3,2.776899934E-2,3.359134987E-2
6.731067220E-1,4.591799900E-2,-1.103200018E-2,4.138800129E-2,6.279438121E-2
6.780925630E-1,3.222699836E-2,1.605499908E-2,1.094890013E-1,1.152570338E-1
6.830784090E-1,4.278900102E-2,2.152000088E-3,1.503250003E-1,1.563110214E-1
6.880640250E-1,5.609799922E-2,-1.158499997E-2,1.911830008E-1,1.995799026E-1
6.930498810E-1,2.892900072E-2,-1.158399973E-2,1.230809987E-1,1.269645949E-1
6.980357270E-1,5.624800175E-2,-1.161899976E-2,6.859999895E-2,8.946954070E-2
7.030215480E-1,3.968299925E-2,-1.096200012E-2,6.858500093E-2,7.999255109E-2
7.080073940E-1,3.934000060E-2,-1.087599993E-2,1.094439998E-1,1.168071578E-1
7.129929330E-1,5.289100111E-2,-1.090500038E-2,1.366840005E-1,1.469656185E-1
7.179790390E-1,3.915600106E-2,-2.460400015E-2,1.775439978E-1,1.834677639E-1
7.229646540E-1,4.918799922E-2,-2.323400043E-2,1.639100015E-1,1.727013800E-1
7.279504230E-1,4.878000170E-2,-9.390000254E-3,1.502889991E-1,1.582859562E-1
7.329362650E-1,4.871699959E-2,-2.297599986E-2,1.639080048E-1,1.725313787E-1
7.379221110E-1,7.794000208E-3,-3.656699881E-2,1.366679966E-1,1.416899190E-1
7.429079570E-1,7.172999904E-3,-4.692199826E-2,1.230679974E-1,1.319047301E-1
7.478938030E-1,2.057999931E-2,-4.653200135E-2,1.503099948E-1,1.586879266E-1
7.528794180E-1,6.895000115E-3,-1.939499937E-2,1.366879940E-1,1.382292108E-1
7.578652650E-1,-2.039900050E-2,-3.299099952E-2,1.503089964E-1,1.552331140E-1
7.628510340E-1,-6.554000080E-3,-1.809200086E-2,2.048020065E-1,2.057040040E-1
7.678368990E-1,2.080599964E-2,-3.158500046E-2,1.639419943E-1,1.682482671E-1
7.728225140E-1,-2.004100010E-2,-1.797600091E-2,1.503220052E-1,1.527137306E-1
7.778083610E-1,-3.365699947E-2,-1.793899946E-2,1.230819970E-1,1.288556530E-1
7.827941970E-1,-4.423100129E-2,-1.675100066E-2,1.367319971E-1,1.446810856E-1
